CPU (user): 1353.515625	CPU (sys): 884.65625	RAM: 299.97265625
CPU (user): 1360.03125	CPU (sys): 889.453125	RAM: 264.2421875
CPU (user): 1377.875	CPU (sys): 901.0625	RAM: 272.109375
CPU (user): 1410.25	CPU (sys): 919.921875	RAM: 308.3203125
CPU (user): 1434.609375	CPU (sys): 935.578125	RAM: 275.12890625
CPU (user): 1442.3125	CPU (sys): 940.796875	RAM: 295.61328125
CPU (user): 1480.84375	CPU (sys): 964.9375	RAM: 276.78125
CPU (user): 1510.84375	CPU (sys): 984.453125	RAM: 286.55859375
CPU (user): 1543.90625	CPU (sys): 1003.796875	RAM: 291.25390625
CPU (user): 1556.296875	CPU (sys): 1012.109375	RAM: 277.31640625
CPU (user): 1569.125	CPU (sys): 1020.53125	RAM: 273.765625
CPU (user): 1596.984375	CPU (sys): 1037.203125	RAM: 304.33203125
CPU (user): 1609.078125	CPU (sys): 1045.140625	RAM: 267.453125
CPU (user): 1616.140625	CPU (sys): 1049.78125	RAM: 285.05078125
CPU (user): 1629.578125	CPU (sys): 1058.6875	RAM: 277.32421875
CPU (user): 1635.21875	CPU (sys): 1062.3125	RAM: 291.2578125
CPU (user): 1669.625	CPU (sys): 1083.96875	RAM: 267.55859375
CPU (user): 1677.15625	CPU (sys): 1089.640625	RAM: 277.328125
CPU (user): 1684.25	CPU (sys): 1093.734375	RAM: 270.0625
CPU (user): 1689.1875	CPU (sys): 1097.21875	RAM: 277.375
CPU (user): 1694.75	CPU (sys): 1100.953125	RAM: 286.421875
CPU (user): 1707.9375	CPU (sys): 1109.328125	RAM: 287.62109375
CPU (user): 1764.203125	CPU (sys): 1145.0625	RAM: 280.76953125
CPU (user): 1787.140625	CPU (sys): 1158.046875	RAM: 313.390625
CPU (user): 1818.921875	CPU (sys): 1177.234375	RAM: 300.3828125
CPU (user): 1841.28125	CPU (sys): 1189.859375	RAM: 268.23046875
CPU (user): 1850.21875	CPU (sys): 1196.8125	RAM: 277.375
CPU (user): 1882.40625	CPU (sys): 1216.203125	RAM: 309.33984375
CPU (user): 1927.59375	CPU (sys): 1243.75	RAM: 277.66015625
CPU (user): 1997.421875	CPU (sys): 1282.328125	RAM: 292.078125
CPU (user): 2029.6875	CPU (sys): 1302.28125	RAM: 277.375
CPU (user): 2056.546875	CPU (sys): 1317.78125	RAM: 301.07421875
CPU (user): 2068.765625	CPU (sys): 1326.390625	RAM: 277.375
CPU (user): 2073.40625	CPU (sys): 1330.359375	RAM: 277.375
CPU (user): 2127.78125	CPU (sys): 1362.578125	RAM: 313.390625
CPU (user): 2141.65625	CPU (sys): 1372.0	RAM: 304.38671875
CPU (user): 2149.4375	CPU (sys): 1377.859375	RAM: 264.4765625
CPU (user): 2159.15625	CPU (sys): 1384.1875	RAM: 264.30078125
CPU (user): 2163.96875	CPU (sys): 1388.25	RAM: 268.21875
CPU (user): 2200.6875	CPU (sys): 1408.796875	RAM: 284.9140625
CPU (user): 2213.546875	CPU (sys): 1417.421875	RAM: 292.765625
CPU (user): 2232.578125	CPU (sys): 1429.0	RAM: 277.37890625
CPU (user): 2237.65625	CPU (sys): 1432.921875	RAM: 264.30078125
CPU (user): 2260.515625	CPU (sys): 1445.984375	RAM: 300.2734375
CPU (user): 2313.171875	CPU (sys): 1478.5625	RAM: 300.30078125
CPU (user): 2352.578125	CPU (sys): 1501.21875	RAM: 273.4453125
CPU (user): 2374.578125	CPU (sys): 1514.9375	RAM: 303.3203125
CPU (user): 2407.671875	CPU (sys): 1535.328125	RAM: 295.24609375
CPU (user): 2415.921875	CPU (sys): 1541.015625	RAM: 268.66015625
CPU (user): 2420.875	CPU (sys): 1545.34375	RAM: 277.37890625
CPU (user): 2447.328125	CPU (sys): 1562.421875	RAM: 264.30078125
CPU (user): 2458.953125	CPU (sys): 1570.390625	RAM: 264.3203125
CPU (user): 2471.765625	CPU (sys): 1578.4375	RAM: 264.05078125
CPU (user): 2518.28125	CPU (sys): 1607.25	RAM: 290.88671875
CPU (user): 2535.84375	CPU (sys): 1618.421875	RAM: 264.30078125
CPU (user): 2553.3125	CPU (sys): 1630.890625	RAM: 264.30078125
CPU (user): 2584.6875	CPU (sys): 1648.515625	RAM: 273.3046875
CPU (user): 2599.96875	CPU (sys): 1658.5	RAM: 277.37890625
CPU (user): 2638.8125	CPU (sys): 1682.265625	RAM: 273.63671875
CPU (user): 2652.140625	CPU (sys): 1690.78125	RAM: 289.38671875
CPU (user): 2659.4375	CPU (sys): 1696.75	RAM: 276.21484375
CPU (user): 2663.859375	CPU (sys): 1700.71875	RAM: 277.37890625
CPU (user): 2668.296875	CPU (sys): 1705.25	RAM: 291.3125
CPU (user): 2673.375	CPU (sys): 1709.671875	RAM: 286.08984375
CPU (user): 2711.46875	CPU (sys): 1733.421875	RAM: 289.44140625
CPU (user): 2743.34375	CPU (sys): 1753.875	RAM: 288.66796875
CPU (user): 2775.125	CPU (sys): 1775.28125	RAM: 286.3828125
CPU (user): 2780.34375	CPU (sys): 1780.265625	RAM: 284.55859375
CPU (user): 2785.21875	CPU (sys): 1785.109375	RAM: 284.20703125
CPU (user): 2799.6875	CPU (sys): 1795.796875	RAM: 285.12890625
CPU (user): 2807.765625	CPU (sys): 1802.4375	RAM: 285.4765625
CPU (user): 2833.578125	CPU (sys): 1818.3125	RAM: 286.32421875
CPU (user): 2838.8125	CPU (sys): 1824.078125	RAM: 283.8046875
CPU (user): 2844.75	CPU (sys): 1829.640625	RAM: 287.859375
CPU (user): 2855.484375	CPU (sys): 1838.265625	RAM: 285.3515625
CPU (user): 2873.96875	CPU (sys): 1851.921875	RAM: 289.21484375
CPU (user): 2885.96875	CPU (sys): 1860.546875	RAM: 283.375
CPU (user): 2891.703125	CPU (sys): 1865.546875	RAM: 286.08984375
CPU (user): 2897.59375	CPU (sys): 1870.640625	RAM: 286.0234375
CPU (user): 2904.71875	CPU (sys): 1876.875	RAM: 284.87890625
CPU (user): 2958.34375	CPU (sys): 1910.6875	RAM: 267.37890625
CPU (user): 2979.234375	CPU (sys): 1924.265625	RAM: 289.22265625
CPU (user): 3019.046875	CPU (sys): 1947.390625	RAM: 300.328125
CPU (user): 3040.0625	CPU (sys): 1960.71875	RAM: 298.40234375
CPU (user): 3047.9375	CPU (sys): 1966.78125	RAM: 264.3125
CPU (user): 3056.5625	CPU (sys): 1973.4375	RAM: 297.95703125
CPU (user): 3069.390625	CPU (sys): 1982.640625	RAM: 264.3125
CPU (user): 3110.921875	CPU (sys): 2007.3125	RAM: 288.4921875
CPU (user): 3119.625	CPU (sys): 2014.53125	RAM: 264.3125
CPU (user): 3131.34375	CPU (sys): 2023.671875	RAM: 265.765625
CPU (user): 3142.5625	CPU (sys): 2032.265625	RAM: 264.3125
CPU (user): 3163.953125	CPU (sys): 2045.75	RAM: 284.13671875
CPU (user): 3214.015625	CPU (sys): 2078.71875	RAM: 269.5625
CPU (user): 3237.46875	CPU (sys): 2094.734375	RAM: 264.31640625
CPU (user): 3246.875	CPU (sys): 2101.96875	RAM: 264.31640625
CPU (user): 3256.046875	CPU (sys): 2109.484375	RAM: 290.4609375
CPU (user): 3262.734375	CPU (sys): 2115.75	RAM: 287.7890625
CPU (user): 3269.875	CPU (sys): 2121.234375	RAM: 287.7265625
CPU (user): 3293.515625	CPU (sys): 2135.328125	RAM: 291.33203125
CPU (user): 3344.1875	CPU (sys): 2166.1875	RAM: 294.21484375
CPU (user): 3383.75	CPU (sys): 2191.421875	RAM: 287.4453125
CPU (user): 3391.0625	CPU (sys): 2197.0625	RAM: 284.703125
CPU (user): 3396.125	CPU (sys): 2200.71875	RAM: 288.5625
CPU (user): 3443.140625	CPU (sys): 2232.03125	RAM: 303.9140625
CPU (user): 3490.59375	CPU (sys): 2259.75	RAM: 300.61328125
CPU (user): 3552.984375	CPU (sys): 2298.6875	RAM: 306.1484375
CPU (user): 3590.515625	CPU (sys): 2320.015625	RAM: 309.0625
CPU (user): 3607.140625	CPU (sys): 2329.625	RAM: 291.37109375
CPU (user): 3616.984375	CPU (sys): 2336.25	RAM: 264.38671875
CPU (user): 3624.765625	CPU (sys): 2341.875	RAM: 273.65234375
CPU (user): 3655.359375	CPU (sys): 2358.03125	RAM: 273.41015625
CPU (user): 3668.34375	CPU (sys): 2365.375	RAM: 276.68359375
CPU (user): 3677.921875	CPU (sys): 2371.34375	RAM: 264.40625
CPU (user): 3687.640625	CPU (sys): 2378.1875	RAM: 264.42578125
CPU (user): 3697.640625	CPU (sys): 2383.671875	RAM: 264.4453125
CPU (user): 3702.84375	CPU (sys): 2387.640625	RAM: 264.4453125
CPU (user): 3710.09375	CPU (sys): 2392.5625	RAM: 264.4453125
CPU (user): 3720.640625	CPU (sys): 2399.453125	RAM: 272.73046875
CPU (user): 3729.859375	CPU (sys): 2405.359375	RAM: 264.4453125
CPU (user): 3737.296875	CPU (sys): 2410.5625	RAM: 269.5
CPU (user): 3742.71875	CPU (sys): 2414.09375	RAM: 267.453125
CPU (user): 3748.125	CPU (sys): 2418.21875	RAM: 264.44921875
CPU (user): 3753.890625	CPU (sys): 2423.1875	RAM: 273.453125
CPU (user): 3774.0	CPU (sys): 2434.8125	RAM: 264.44921875
CPU (user): 3817.625	CPU (sys): 2460.640625	RAM: 300.46484375
CPU (user): 3845.828125	CPU (sys): 2477.265625	RAM: 264.44921875
CPU (user): 3859.046875	CPU (sys): 2484.984375	RAM: 264.44921875
CPU (user): 3873.171875	CPU (sys): 2494.3125	RAM: 264.44921875
CPU (user): 3910.859375	CPU (sys): 2519.5	RAM: 291.4609375
CPU (user): 3927.515625	CPU (sys): 2531.25	RAM: 264.44921875
CPU (user): 3933.828125	CPU (sys): 2536.46875	RAM: 264.44921875
CPU (user): 3940.390625	CPU (sys): 2541.46875	RAM: 291.4609375
CPU (user): 3954.5	CPU (sys): 2549.96875	RAM: 300.46484375
CPU (user): 3964.9375	CPU (sys): 2556.890625	RAM: 291.46484375
CPU (user): 3994.828125	CPU (sys): 2575.203125	RAM: 264.453125
CPU (user): 4005.578125	CPU (sys): 2582.296875	RAM: 264.453125
CPU (user): 4023.71875	CPU (sys): 2595.3125	RAM: 291.8125
CPU (user): 4029.3125	CPU (sys): 2599.296875	RAM: 289.0390625
CPU (user): 4036.359375	CPU (sys): 2604.15625	RAM: 267.9609375
CPU (user): 4041.984375	CPU (sys): 2608.609375	RAM: 264.453125
CPU (user): 4056.28125	CPU (sys): 2616.984375	RAM: 290.4921875
CPU (user): 4064.34375	CPU (sys): 2622.0625	RAM: 289.36328125
CPU (user): 4073.109375	CPU (sys): 2627.296875	RAM: 264.453125
CPU (user): 4078.28125	CPU (sys): 2631.03125	RAM: 267.96484375
CPU (user): 4082.890625	CPU (sys): 2634.40625	RAM: 288.15234375
CPU (user): 4087.5	CPU (sys): 2637.8125	RAM: 276.3203125
CPU (user): 4095.46875	CPU (sys): 2642.65625	RAM: 287.4453125
CPU (user): 4101.6875	CPU (sys): 2647.515625	RAM: 274.83984375
